symbol,date,p/e,eps (ttm),insider own,shs outstand,market cap,forward p/e,eps next y,insider trans,shs float,perf month,income,peg,eps next q,inst own,short float,perf quarter,sales,p/s,eps this y,inst trans,short ratio,perf half y,book/sh,p/b,eps next y.1,roa,target price,perf year,cash/sh,p/c,eps next 5y,roe,52w range,perf ytd,dividend,p/fcf,eps past 5y,roi,52w high,beta,dividend %,quick ratio,sales past 5y,gross margin,52w low,atr,employees,current ratio,sales q/q,oper. margin,rsi (14),volatility,optionable,debt/eq,eps q/q,profit margin,rel volume,prev close,shortable,lt debt/eq,earnings,payout,cap,size,symbol,name,market cap,country,ipo year,sector,industry
burl,12-18-2020,-,-2.60,0.30%,66.08M,17.38B,38.26,6.80,-22.29%,65.39M,19.08%,-166.20M,-,2.07,-,3.97%,26.27%,5.69B,3.05,14.50%,5.08%,4.07,32.97%,4.34,59.96,331.30%,-2.60%,248.95,14.13%,20.19,12.89,5.54%,-49.00%,105.67 - 264.48,14.13%,-,1174.42,51.40%,32.60%,-0.59%,0.72,-,1.00,8.50%,38.10%,148.81%,7.02,47000,1.50,-6.40%,-4.90%,72.81,2.49% 2.88%,Yes,7.58,-91.60%,-2.90%,0.3,260.24,Yes,7.57,Nov 24 BMO,-,large,17380000000.0,burl,Burlington Stores Inc. Common Stock,17480776113.0,,2013.0,Consumer Services,Department/Specialty Retail Stores
buse,12-18-2020,11.67,1.83,2.70%,54.59M,1.16B,11.67,1.83,2.11%,48.34M,6.75%,100.60M,1.94,0.53,49.70%,1.50%,34.42%,334.10M,3.48,-7.10%,-0.77%,4.39,18.86%,23.00,0.93,-0.70%,1.00%,23.50,-22.33%,8.81,2.42,6.00%,8.20%,11.00 - 27.76,-22.33%,0.88,15.18,11.10%,17.10%,-22.66%,1.11,4.12%,-,26.90%,-,95.18%,0.57,1531,-,-13.20%,73.00%,55.88,2.24% 2.47%,Yes,0.23,26.20%,30.10%,0.2,21.36,Yes,0.23,-,47.90%,large,1160000000.0,buse,First Busey Corporation Class A Common Stock,1163504410.0,United States,,Finance,Major Banks
bv,12-18-2020,-,-0.40,1.40%,103.93M,1.56B,12.53,1.19,0.34%,52.14M,9.46%,-41.60M,-,0.09,94.80%,4.24%,30.96%,2.35B,0.66,-193.40%,-0.05%,7.50,30.96%,12.23,1.22,17.44%,-1.40%,16.11,-11.50%,1.51,9.90,23.76%,-3.30%,6.85 - 17.25,-11.50%,-,8.09,-0.20%,0.90%,-13.45%,-,-,1.40,1.20%,25.40%,117.96%,0.51,19000,1.40,-2.70%,0.50%,60.12,2.62% 3.43%,Yes,0.91,-124.20%,-1.80%,0.49,14.93,Yes,0.90,Nov 18 BMO,-,large,1560000000.0,bv,BrightView Holdings Inc. Common Stock,1576437858.0,United States,2018.0,Consumer Non-Durables,Farming/Seeds/Milling
bvh,12-18-2020,-,-3.01,4.40%,18.73M,254.14M,9.69,1.35,0.00%,11.64M,2.91%,-56.30M,-,0.04,29.50%,0.99%,-2.32%,503.80M,0.50,-47.30%,-12.48%,4.09,11.79%,9.47,1.38,0.00%,-7.30%,-,-45.16%,10.86,1.20,10.00%,-27.10%,5.53 - 24.05,-45.16%,0.11,-,3.40%,-4.80%,-43.87%,2.04,0.86%,-,7.90%,64.40%,144.34%,0.6,7185,-,-30.00%,-27.40%,59.14,4.09% 4.37%,No,3.83,-783.40%,-23.40%,1.22,13.08,Yes,3.83,-,-,small,254140000.0,bvh,Bluegreen Vacations Holding Corporation Class A Common Stock,248039101.0,United States,2017.0,Finance,Real Estate
bvn,12-18-2020,-,-0.48,37.20%,253.99M,3.08B,15.40,0.80,0.00%,251.45M,10.54%,-121.20M,-,0.13,68.10%,1.55%,0.41%,676.00M,4.56,-3.40%,-0.42%,3.79,33.51%,10.59,1.16,414.19%,-3.20%,14.21,-18.74%,1.05,11.65,18.43%,-4.80%,5.12 - 15.43,-18.74%,0.09,-,48.10%,-1.00%,-22.20%,0.90,0.73%,1.10,-5.90%,7.00%,134.45%,0.46,2043,1.40,-0.90%,-10.90%,46.93,3.09% 3.72%,Yes,0.23,290.20%,-19.10%,0.32,12.27,Yes,0.15,Oct 29 AMC,-,large,3080000000.0,bvn,Buenaventura Mining Company Inc.,3096099909.0,Peru,1996.0,Basic Industries,Precious Metals
bvxv,12-18-2020,-,-3.21,37.10%,10.84M,35.34M,-,-6.00,0.00%,6.93M,-8.59%,-33.90M,-,-0.01,4.10%,9.82%,-92.38%,-,-,0.40%,5.19%,0.58,-87.43%,-1.78,-,-9900.00%,-,-,-67.92%,1.02,2.92,-,209.00%,2.35 - 62.00,-67.92%,-,-,-19.00%,-,-95.47%,2.46,-,6.50,-,-,19.57%,0.31,17,6.50,-,-,29.70,8.27% 10.44%,No,-,46.60%,-,0.29,2.98,Yes,-,-,-,small,35340000.0,bvxv,BiondVax Pharmaceuticals Ltd. American Depositary Shares,32621823.0,Israel,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
bw,12-18-2020,-,-0.15,19.50%,49.48M,194.86M,-,-0.17,0.95%,40.28M,-13.57%,-4.30M,-,-0.16,63.80%,0.49%,56.47%,596.90M,0.33,92.50%,-3.01%,0.85,65.75%,-6.50,-,21.30%,-0.40%,-,-0.27%,-,-,12.50%,0.80%,0.77 - 5.16,-0.27%,-,-,-11.50%,-247.00%,-32.85%,2.81,-,1.20,-10.40%,28.20%,350.00%,0.32,2400,1.40,-33.30%,0.00%,44.63,9.04% 8.41%,Yes,-,149.80%,-0.40%,0.75,3.63,Yes,-,Nov 12 BMO,-,small,194860000.0,bw,Babcock & Wilcox Enterprises Inc. Common Stock,183593528.0,United States,2015.0,Capital Goods,Building Products
bwa,12-18-2020,22.41,1.75,0.20%,244.52M,9.74B,10.40,3.77,-14.69%,243.57M,0.88%,362.00M,3.38,0.88,91.10%,6.08%,1.16%,8.80B,1.11,-15.30%,-3.69%,5.04,14.46%,23.09,1.70,52.74%,3.60%,45.22,-9.66%,8.53,4.59,6.63%,7.70%,17.00 - 44.05,-9.66%,0.68,13.94,5.30%,12.90%,-11.87%,1.77,1.74%,2.00,4.10%,19.10%,128.36%,1.03,29000,2.30,1.70%,9.90%,50.93,2.30% 2.49%,Yes,0.60,-43.10%,4.10%,0.18,39.19,Yes,0.59,Oct 29 BMO,38.60%,large,9740000000.0,bwa,BorgWarner Inc. Common Stock,9536154618.0,United States,,Capital Goods,Auto Parts:O.E.M.
bway,12-18-2020,-,-0.65,2.89%,11.13M,76.10M,-,-0.26,0.00%,3.77M,5.72%,-,-,-0.04,18.18%,0.01%,17.28%,21.28M,3.58,74.00%,-,0.04,14.19%,1.65,4.15,0.00%,-,-,-29.85%,-,-,-,-,5.10 - 12.53,-29.85%,-,-,-,-,-38.55%,-,-,-,-,-,50.98%,0.22,107,-,1.40%,-,79.88,2.05% 2.89%,No,-,-,-,8.64,6.84,Yes,-,Nov 18 BMO,-,small,76100000.0,bway,Brainsway Ltd. American Depositary Shares,76763230.0,Israel,2019.0,Health Care,Medical/Dental Instruments
bwb,12-18-2020,11.79,1.05,15.90%,28.68M,351.34M,12.26,1.01,3.12%,23.32M,5.18%,30.80M,0.79,0.24,50.20%,1.15%,30.45%,111.50M,3.15,14.50%,-1.51%,4.17,28.62%,9.25,1.34,0.70%,1.20%,14.33,-10.16%,3.60,3.44,15.00%,12.10%,7.99 - 13.89,-10.16%,-,292.79,25.10%,22.80%,-10.01%,-,-,-,25.50%,-,56.45%,0.33,160,-,7.10%,74.00%,57.58,2.28% 2.60%,No,0.32,-7.10%,27.60%,0.37,12.38,Yes,0.32,-,0.00%,small,351340000.0,bwb,Bridgewater Bancshares Inc. Common Stock,350269362.0,United States,2018.0,Finance,Major Banks
bwen,12-18-2020,-,-0.07,3.40%,16.87M,133.40M,27.33,0.30,-4.11%,14.44M,73.61%,-1.10M,-,-0.08,44.90%,0.98%,181.88%,207.40M,0.64,81.70%,8.67%,0.28,118.65%,2.50,3.24,700.00%,-0.80%,6.00,387.35%,0.15,53.36,24.00%,-2.60%,1.12 - 8.85,387.35%,-,-,-18.50%,-4.30%,-12.77%,1.60,-,0.60,-4.60%,9.30%,589.29%,0.77,521,1.10,18.40%,0.40%,70.28,19.39% 11.85%,No,0.49,-7.50%,-0.50%,1.19,8.09,Yes,0.27,Nov 04 BMO,-,small,133400000.0,bwen,Broadwind Inc. Common Stock,138788069.0,United States,,Capital Goods,Metal Fabrications
bwfg,12-18-2020,16.48,1.15,13.50%,7.72M,150.84M,11.84,1.60,1.67%,6.07M,3.55%,8.90M,-,0.31,51.80%,1.74%,33.92%,78.30M,1.93,4.50%,-3.28%,8.24,19.86%,22.57,0.84,58.42%,0.40%,19.50,-34.29%,43.91,0.43,-,5.10%,12.07 - 29.26,-34.29%,0.56,-,24.30%,23.40%,-32.68%,0.78,2.96%,-,18.40%,-,63.21%,0.51,154,-,-7.80%,58.90%,59.64,1.63% 2.37%,No,0.14,-26.80%,11.40%,0.74,18.95,Yes,0.14,-,47.80%,small,150840000.0,bwfg,Bankwell Financial Group Inc. Common Stock,147743571.0,United States,2014.0,Finance,Major Banks
bwg,12-18-2020,-,-,-,20.99M,260.69M,-,-,-,-,4.28%,-,-,-,47.49%,-,7.91%,-,-,-,-,0.08,7.35%,-,-,-,-,-,-1.66%,-,-,-,-,8.53 - 13.60,-1.66%,0.90,-,-,-,-8.31%,-,7.25%,-,-,-,46.10%,0.11,-,-,-,-,63.81,0.75% 0.90%,No,-,-,-,0.44,12.42,Yes,-,-,-,small,260690000.0,bwg,BrandywineGLOBAL Global Income Opportunities Fund Inc.,261113050.0,United States,2012.0,,
bwmx,12-18-2020,-,-0.01,90.26%,7.22M,1.20B,13.96,2.50,0.00%,3.36M,23.28%,-0.10M,-,0.36,1.40%,0.30%,91.86%,-,-,-,418.82%,0.16,291.69%,7.83,4.46,23.80%,-0.10%,43.05,246.57%,0.00,-,-,-0.20%,5.67 - 39.37,241.49%,1.54,-,-,-,-13.67%,-,4.42%,0.00,-,-,499.47%,1.76,674,0.00,199.40%,-,64.26,6.05% 5.48%,No,0.00,67.10%,-,0.26,34.9,Yes,0.00,-,-,large,1200000000.0,bwmx,Betterware de Mexico S.A.B. de C.V. Ordinary Shares,1170782205.0,Mexico,,Consumer Services,Catalog/Specialty Distribution
bwxt,12-18-2020,21.00,2.87,0.30%,95.48M,5.83B,19.25,3.13,-14.64%,95.02M,5.77%,274.40M,2.41,0.71,98.90%,1.04%,6.84%,2.07B,2.82,19.40%,-0.58%,2.46,6.55%,5.76,10.44,4.13%,13.80%,68.88,-3.09%,0.50,120.56,8.71%,58.80%,40.40 - 70.57,-3.09%,0.76,225.29,48.50%,20.90%,-14.55%,0.96,1.26%,1.80,5.50%,27.60%,49.26%,1.44,6450,1.90,2.70%,17.00%,54.60,2.03% 2.36%,Yes,1.64,-2.10%,13.30%,0.28,60.16,Yes,1.64,Nov 02 BMO,25.70%,large,5830000000.0,bwxt,BWX Technologies Inc. Common Stock,5778618683.0,United States,,Energy,Industrial Machinery/Components
bx,12-18-2020,87.43,0.74,0.20%,700.19M,77.32B,21.81,2.97,-3.55%,692.52M,8.65%,779.60M,6.66,0.84,61.40%,1.26%,23.95%,4.56B,16.94,34.10%,0.91%,3.21,15.25%,8.83,7.33,25.78%,2.70%,64.00,15.66%,2.27,28.49,13.12%,12.90%,33.00 - 65.75,15.66%,1.91,-,3.20%,18.80%,-1.49%,1.32,2.95%,-,-0.40%,-,96.28%,1.16,2905,-,74.80%,-,66.93,1.31% 1.88%,Yes,0.91,-1.60%,17.10%,0.32,64.7,Yes,0.90,Oct 28 BMO,171.80%,large,77320000000.0,bx,The Blackstone Group Inc. Class A Common Stock,44983413154.0,United States,2007.0,Finance,Investment Managers
bxc,12-18-2020,5.68,5.26,0.40%,9.46M,287.14M,9.20,3.25,-89.85%,9.10M,14.60%,50.80M,0.23,-0.32,72.50%,1.97%,38.92%,2.85B,0.10,63.70%,0.46%,1.28,244.98%,4.04,7.40,170.80%,5.00%,25.00,109.89%,1.06,28.15,25.00%,-639.30%,3.60 - 30.35,109.89%,-,2.47,-3.20%,6.20%,-3.95%,2.20,-,1.50,5.90%,15.30%,709.72%,1.45,2000,2.80,28.30%,4.00%,60.20,4.21% 5.99%,Yes,15.29,861.00%,1.80%,0.21,29.91,Yes,15.10,Oct 28 AMC,0.00%,small,287140000.0,bxc,Bluelinx Holdings Inc. Common Stock,281007738.0,United States,2004.0,Capital Goods,Wholesale Distributors
bxg,12-18-2020,45.12,0.16,92.98%,72.49M,515.07M,12.67,0.57,0.02%,5.10M,13.52%,11.80M,-,0.15,4.20%,9.99%,47.35%,551.90M,0.93,-59.80%,-5.25%,12.96,60.75%,4.27,1.69,245.45%,0.10%,7.75,-17.29%,2.71,2.67,-14.14%,0.40%,2.74 - 8.85,-17.29%,-,-,-19.30%,4.40%,-13.42%,-,-,-,10.10%,73.50%,179.18%,0.3,5873,-,-28.70%,1.30%,71.39,3.78% 4.78%,No,1.98,-50.00%,0.30%,3.67,7.22,Yes,1.98,Nov 09 AMC,-,small,515070000.00000006,bxg,Bluegreen Vacations Corporation Common Stock,536383768.0,United States,2017.0,Finance,Real Estate
bxmt,12-18-2020,29.51,0.93,1.10%,146.49M,4.02B,11.67,2.36,-0.84%,144.59M,5.85%,133.00M,-,0.61,60.10%,4.09%,25.17%,811.50M,4.95,-6.20%,-4.09%,5.85,17.98%,26.51,1.04,-5.42%,0.80%,26.64,-26.11%,2.92,9.41,-2.55%,3.50%,12.67 - 40.62,-26.11%,2.48,-,4.80%,1.90%,-32.79%,1.36,9.02%,-,36.70%,46.00%,115.47%,0.78,-,-,-9.40%,16.70%,48.36,2.43% 2.59%,Yes,3.30,10.20%,16.40%,0.56,27.5,Yes,3.30,Oct 29 BMO,266.10%,large,4020000000.0,bxmt,Blackstone Mortgage Trust Inc. Common Stock,4050408414.0,United States,,Consumer Services,Real Estate Investment Trusts
bxmx,12-18-2020,-,-0.01,-,104.09M,1.33B,-,-,-,-,2.49%,-,-,-,23.78%,-,13.12%,26.67M,49.80,-,-,0.41,15.06%,12.33,1.04,-,-,-,-7.20%,-,-,-,-,7.77 - 13.95,-7.20%,0.86,-,-,-,-7.67%,-,6.74%,-,-,-,65.77%,0.12,-,-,-15.60%,-,71.81,0.72% 0.98%,No,-,-,-,1.78,12.76,Yes,-,-,-,large,1330000000.0,bxmx,Nuveen S&P 500 Buy-Write Income Fund Common Shares of Beneficial Interest,1323984567.0,United States,,,
bxp,12-18-2020,14.66,6.40,0.15%,155.65M,14.41B,34.51,2.72,0.00%,155.43M,-4.37%,995.40M,2.09,0.60,97.10%,2.81%,16.90%,2.86B,5.04,-10.80%,-1.28%,3.27,4.24%,38.10,2.46,-55.39%,6.10%,101.78,-31.91%,11.17,8.40,7.00%,23.30%,69.69 - 147.83,-31.91%,3.92,79.02,3.20%,5.70%,-36.80%,1.27,4.18%,-,4.30%,62.90%,34.06%,3.1,760,-,-6.80%,34.00%,44.79,2.64% 2.98%,Yes,2.24,-17.10%,47.30%,0.23,93.87,Yes,2.24,Oct 27 AMC,45.10%,large,14410000000.0,bxp,Boston Properties Inc. Common Stock,14577515827.0,United States,1997.0,Consumer Services,Real Estate Investment Trusts
bxrx,12-18-2020,-,-5.85,1.10%,42.64M,43.86M,-,-0.76,0.00%,24.45M,-12.17%,-66.40M,-,-0.59,16.50%,5.64%,-63.54%,0.40M,109.66,57.10%,-12.79%,0.68,-75.25%,-2.46,-,81.70%,-100.10%,-,-85.40%,0.57,1.78,-,168.90%,0.97 - 10.14,-85.40%,-,-,-,-,-90.19%,-,-,1.40,-,-,2.58%,0.07,24,1.50,-,-,36.70,6.06% 6.73%,Yes,-,154.80%,-,1.68,1.01,Yes,-,-,-,small,43860000.0,bxrx,Baudax Bio Inc. Common Stock,42966363.0,United States,,Health Care,Misc Health and Biotechnology Services
bxs,12-18-2020,13.02,2.10,0.20%,102.56M,2.87B,12.83,2.13,0.00%,83.75M,7.93%,218.00M,2.60,0.61,62.00%,1.77%,41.18%,804.00M,3.57,8.90%,-3.40%,3.76,24.65%,25.50,1.07,2.16%,1.00%,29.22,-12.89%,3.30,8.30,5.00%,8.50%,17.21 - 31.76,-12.89%,0.76,22.46,13.70%,20.70%,-14.06%,1.33,2.78%,-,11.50%,-,58.60%,0.74,4693,-,0.90%,85.20%,51.63,2.10% 2.53%,Yes,0.11,10.60%,27.10%,0.58,27.36,Yes,0.11,Oct 19 AMC,35.10%,large,2870000000.0,bxs,BancorpSouth Bank Common Stock,2818307553.0,United States,,,
by,12-18-2020,14.71,1.05,0.30%,38.06M,601.16M,13.60,1.14,-51.31%,23.54M,0.78%,40.20M,1.47,0.28,39.90%,1.06%,36.97%,245.20M,2.45,30.00%,0.54%,3.82,24.20%,20.61,0.75,23.48%,0.70%,18.90,-21.05%,3.55,4.35,10.00%,5.30%,8.13 - 20.73,-21.05%,0.12,56.18,103.20%,22.60%,-25.45%,1.41,0.78%,-,24.20%,-,90.10%,0.47,1001,-,-18.00%,75.30%,49.05,2.52% 2.72%,No,0.14,-14.50%,16.40%,0.32,15.45,Yes,0.14,Oct 22 AMC,11.30%,small,601160000.0,by,Byline Bancorp Inc. Common Stock,597278787.0,United States,2017.0,Finance,Major Banks
byd,12-18-2020,-,-1.71,1.70%,113.52M,4.70B,19.35,2.18,-28.53%,81.00M,9.61%,-193.70M,-,0.51,70.10%,6.37%,37.47%,2.38B,1.98,38.80%,0.85%,4.06,108.35%,9.20,4.59,1657.10%,-2.80%,44.64,40.92%,4.54,9.30,17.17%,-17.50%,6.44 - 43.81,40.92%,-,48.96,34.80%,7.80%,-1.32%,2.24,-,1.20,9.20%,50.20%,571.27%,1.31,24300,1.20,-20.40%,-0.70%,66.94,2.09% 3.33%,Yes,3.82,-3.20%,-8.20%,0.53,42.19,Yes,3.79,Oct 26 AMC,-,large,4700000000.0,byd,Boyd Gaming Corporation Common Stock,4702530742.0,United States,1993.0,Consumer Services,Hotels/Resorts
byfc,12-18-2020,-,-0.01,26.60%,27.22M,37.00M,-,-,0.00%,5.40M,6.98%,-0.10M,-,-,10.30%,1.17%,9.52%,18.10M,2.04,-125.30%,57.72%,0.11,-18.58%,1.81,1.02,-,0.00%,-,21.85%,3.64,0.50,-,-0.30%,1.04 - 7.23,19.48%,-,-,-15.60%,20.40%,-74.69%,0.99,-,-,1.40%,-,75.97%,0.1,62,-,15.00%,65.70%,54.80,5.91% 5.07%,No,0.07,13.00%,-0.70%,0.43,1.84,Yes,0.07,-,-,small,37000000.0,byfc,Broadway Financial Corporation Common Stock,52711730.0,United States,,Finance,Savings Institutions
bym,12-18-2020,35.36,0.43,-,26.41M,396.89M,-,-,-,-,2.73%,-,-,-,31.77%,-,5.55%,25.61M,15.50,-,-,0.34,8.52%,15.57,0.97,-,-,-,6.98%,-,-,-,-,10.41 - 15.09,6.98%,0.70,-,-,-,0.33%,-,4.66%,-,-,-,45.44%,0.14,-,-,-2.40%,-,68.26,1.07% 0.89%,No,-,-,-,1.74,15.03,Yes,-,-,-,small,396890000.0,bym,Blackrock Municipal Income Quality Trust Common Shares of Beneficial Interest,396094095.0,United States,2002.0,,
bynd,12-18-2020,-,-0.45,3.00%,62.49M,8.12B,540.56,0.23,-22.08%,54.97M,-9.59%,-28.10M,-,-0.12,43.90%,24.62%,-23.83%,403.30M,20.13,42.60%,33.07%,3.47,-10.70%,6.07,20.84,174.20%,-5.80%,115.58,67.31%,3.34,37.83,-,-7.30%,48.18 - 197.50,67.31%,-,-,-,-0.10%,-36.61%,-,-,5.70,-,32.30%,159.85%,5.7,472,8.60,2.60%,-6.40%,33.03,4.81% 4.08%,Yes,0.13,-597.10%,-7.00%,0.69,126.49,Yes,0.13,Nov 09 AMC,-,large,8119999999.999998,bynd,Beyond Meat Inc. Common Stock,7852007186.0,United States,2019.0,Consumer Non-Durables,Packaged Foods
bysi,12-18-2020,-,-2.04,71.55%,30.30M,534.51M,-,-2.55,0.00%,11.14M,18.60%,-57.50M,-,-0.43,5.50%,8.29%,-0.38%,-,-,36.20%,-10.78%,2.35,-10.47%,0.79,16.78,-32.80%,-140.00%,-,-14.45%,0.77,17.30,-,-220.70%,9.38 - 21.50,-14.45%,-,-,-48.10%,-,-43.58%,0.58,-,2.80,-,-,29.32%,0.75,61,2.80,-,-,53.15,7.30% 6.13%,Yes,0.09,-29.60%,-,0.98,13.26,Yes,0.09,-,-,small,534510000.0,bysi,BeyondSpring Inc. Ordinary Shares,401898017.0,United States,2017.0,Health Care,Major Pharmaceuticals
bzh,12-18-2020,8.61,1.79,4.30%,29.60M,470.93M,6.37,2.42,-5.85%,27.90M,4.05%,53.30M,2.15,0.30,77.30%,4.12%,16.74%,2.13B,0.22,168.60%,-0.32%,2.89,59.69%,20.04,0.77,21.00%,2.50%,18.50,9.06%,10.72,1.44,4.00%,9.30%,4.39 - 17.23,9.06%,-,1.69,-30.40%,3.50%,-11.90%,2.28,-,-,5.50%,16.50%,246.08%,0.61,1063,-,-12.20%,3.70%,49.22,4.05% 4.01%,Yes,1.91,897.50%,2.50%,0.38,15.41,Yes,1.91,Nov 12 AMC,0.00%,small,470930000.0,bzh,Beazer Homes USA Inc. Common Stock,489434759.0,United States,1994.0,Capital Goods,Homebuilding
bzm,12-18-2020,-,-0.01,-,2.08M,32.11M,-,-,-,-,-2.22%,-,-,-,6.93%,-,10.07%,1.87M,17.19,-,-,0.41,13.56%,15.13,1.02,-,-,-,2.26%,-,-,-,-,11.33 - 18.74,-0.62%,0.55,-,-,-,-17.87%,-,3.57%,-,-,-,35.84%,0.48,-,-,-4.10%,-,46.95,0.65% 3.04%,No,-,-,-,0.51,15.42,No,-,-,-,small,32110000.0,bzm,BlackRock Maryland Municipal Bond Trust Common shares of beneficial interest,32276139.0,United States,2002.0,,
bzun,12-18-2020,40.29,0.84,0.82%,59.03M,5.99B,19.96,1.69,0.00%,41.11M,-9.36%,50.10M,8.34,0.54,61.10%,18.50%,3.66%,1.27B,4.72,4.50%,0.16%,7.43,-13.13%,14.67,2.30,33.25%,4.40%,44.00,1.69%,3.88,8.69,4.83%,9.70%,22.19 - 47.51,1.69%,-,-,25.70%,6.00%,-28.86%,1.25,-,3.90,35.70%,62.60%,52.32%,1.68,5979,4.40,21.70%,5.40%,43.28,4.09% 4.05%,Yes,0.45,62.60%,4.00%,1.3,33.68,Yes,0.32,Nov 23 BMO,0.00%,large,5990000000.0,bzun,Baozun Inc. American Depositary Shares,2595241736.0,China,2015.0,Consumer Services,Catalog/Specialty Distribution
c,12-18-2020,11.89,5.12,0.25%,2.08B,127.15B,10.07,6.05,0.24%,2.08B,10.51%,10.87B,-,1.26,76.40%,1.22%,41.17%,63.59B,2.00,20.90%,-3.07%,1.06,20.87%,84.49,0.72,44.64%,0.50%,69.98,-23.82%,460.69,0.13,-6.90%,6.20%,32.00 - 83.11,-23.82%,2.04,-,29.50%,8.30%,-26.42%,1.94,3.35%,-,4.40%,-,91.09%,1.55,209000,-,-30.60%,50.10%,65.03,1.87% 2.43%,Yes,1.47,-32.50%,17.00%,0.39,60.86,Yes,1.47,Jan 15 BMO,39.80%,large,127150000000.0,c,Citigroup Inc. Common Stock,126979000000.0,United States,,Finance,Major Banks
caap,12-18-2020,-,-0.81,82.15%,160.02M,656.79M,-,-0.81,0.00%,28.57M,27.07%,-128.80M,-,-0.33,5.70%,1.30%,78.92%,1.23B,0.54,26.80%,-1.18%,0.57,66.25%,4.20,0.95,37.70%,-3.50%,4.60,-33.50%,1.40,2.85,28.30%,-17.50%,1.61 - 6.50,-33.50%,-,-,-,6.00%,-39.23%,-,-,0.70,-,18.50%,145.34%,0.31,6299,0.70,-88.50%,-2.30%,56.49,4.67% 9.56%,Yes,1.71,-182.20%,-10.50%,0.31,3.99,Yes,1.31,Nov 18 AMC,-,small,656790000.0,caap,Corporacion America Airports SA Common Shares,651258601.0,,2018.0,Transportation,Aerospace
caas,12-18-2020,-,0.00,0.30%,31.11M,199.77M,17.53,0.36,-34.49%,11.60M,-39.90%,0.00M,-,0.01,3.10%,5.39%,113.18%,387.10M,0.52,321.50%,8.75%,0.24,102.24%,9.42,0.67,820.00%,0.00%,4.00,100.32%,-,-,10.00%,0.00%,1.42 - 13.69,100.32%,-,3.37,-22.80%,1.30%,-54.72%,3.36,-,1.10,-1.60%,12.80%,335.09%,0.87,4039,1.40,13.80%,-1.60%,49.51,6.20% 11.89%,Yes,0.17,-44.70%,0.00%,0.09,6.31,Yes,0.00,Nov 12 BMO,-,small,199770000.0,caas,China Automotive Systems Inc. Common Stock,192515082.0,China,,Capital Goods,Auto Parts:O.E.M.
caba,12-18-2020,-,-1.24,3.30%,23.26M,304.17M,-,-2.25,-26.67%,22.80M,-17.67%,-29.40M,-,-0.36,68.60%,5.96%,13.01%,-,-,-71.30%,-0.65%,17.26,8.60%,5.05,2.43,-61.90%,-22.40%,20.00,-12.31%,4.70,2.60,-,-23.00%,5.51 - 19.63,-12.31%,-,-,-,-,-38.69%,-,-,28.00,-,-,118.42%,0.91,31,28.00,-,-,35.28,4.53% 6.60%,No,0.00,-75.00%,-,2.23,12.25,Yes,0.00,-,-,small,304170000.0,caba,Cabaletta Bio Inc. Common Stock,298768900.0,United States,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
cabo,12-18-2020,52.38,42.96,0.20%,6.00M,13.39B,47.99,46.89,-34.89%,5.42M,13.61%,251.80M,3.12,11.74,85.00%,1.86%,19.35%,1.31B,10.24,8.20%,-0.08%,2.75,26.56%,230.67,9.76,3.12%,7.20%,1913.57,51.18%,105.09,21.41,16.80%,23.10%,1031.39 - 2326.80,51.18%,10.00,603.10,4.30%,9.90%,-4.37%,0.52,0.44%,3.30,7.50%,67.70%,115.74%,52.88,2751,3.30,18.90%,28.20%,62.41,2.02% 2.57%,No,1.25,26.20%,19.30%,1.08,2250.24,Yes,1.22,Nov 05 AMC,21.30%,large,13390000000.0,cabo,Cable One Inc. Common Stock,13724189148.0,United States,2015.0,Consumer Services,Television Services
cac,12-18-2020,9.52,3.73,0.80%,14.96M,531.58M,11.45,3.10,0.00%,14.53M,3.38%,56.30M,-,0.93,67.40%,2.42%,17.49%,159.60M,3.33,9.10%,-3.57%,9.98,7.67%,34.59,1.03,-15.30%,1.20%,37.00,-22.90%,24.03,1.48,-,11.30%,25.74 - 48.48,-22.90%,1.32,5315.85,11.10%,20.70%,-26.36%,0.98,3.72%,-,13.80%,-,38.72%,0.95,639,-,-8.90%,83.30%,50.90,2.08% 2.32%,Yes,0.11,18.70%,35.30%,0.2,35.51,Yes,0.11,Oct 27 BMO,34.50%,small,531580000.00000006,cac,Camden National Corporation Common Stock,528645863.0,United States,,Finance,Major Banks
cacc,12-18-2020,14.92,22.88,12.30%,17.85M,6.21B,13.44,25.40,-2.62%,12.39M,14.35%,416.60M,0.74,6.92,72.70%,19.03%,0.79%,1.61B,3.86,17.70%,-0.69%,13.74,-18.81%,129.37,2.64,19.69%,5.70%,299.50,-22.84%,0.49,697.58,20.03%,19.20%,199.00 - 539.00,-22.84%,-,6.36,23.70%,12.40%,-36.64%,1.19,-,-,15.50%,-,71.61%,11.47,2016,-,12.60%,46.40%,58.35,3.44% 3.39%,Yes,2.00,55.40%,25.90%,0.22,341.31,Yes,2.00,Oct 29 AMC,0.00%,large,6210000000.0,cacc,Credit Acceptance Corporation Common Stock,6006789309.0,United States,1992.0,Finance,Finance: Consumer Services
